id;Perguntas ;Universidades;Referências
1;O que é Propriedade Intelectual?;Universidade Federal do Amazonas ;UNIVERSIDADE FEDERAL DO AMAZONAS. Perguntas Frequentes.  2023. Disponível em: https://protec.ufam.edu.br/perguntas-frequentes.html. Acesso em: 03 dez. 2024.
1;O que é Patente?;Universidade Federal do Amazonas ;UNIVERSIDADE FEDERAL DO AMAZONAS. Perguntas Frequentes.  2023. Disponível em: https://protec.ufam.edu.br/perguntas-frequentes.html. Acesso em: 03 dez. 2024.
2;O que é marca?;Universidade Federal do Amazonas ;UNIVERSIDADE FEDERAL DO AMAZONAS. Perguntas Frequentes.  2023. Disponível em: https://protec.ufam.edu.br/perguntas-frequentes.html. Acesso em: 03 dez. 2024.
3;O que são Direitos Autorais?;Universidade Federal do Amazonas ;UNIVERSIDADE FEDERAL DO AMAZONAS. Perguntas Frequentes.  2023. Disponível em: https://protec.ufam.edu.br/perguntas-frequentes.html. Acesso em: 03 dez. 2024.
4;O que é Cultivar?;Universidade Federal da Integração Latino-Americana;UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA.  2021. Perguntas Frequentes. Disponível em: https://portal.unila.edu.br/prppg/inovacao/inovacao-tecnologica/perguntas-frequentes. Acesso em: 03 dez. 2024.
5;Qual é a forma de apresentação de uma marca?;Universidade Federal de Viçosa;UNIVERSIDDE FEEDERAL DE VIÇOSA. NIT. Núcleo de Inovação Tecnológica. Perguntas Frequentes. 2022. Disponível em: https://nit.ufv.br/fale-conosco/duvidas-frequentes/. Acesso em: 03 dez. 2024.
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
